date,district,daily_cases,meantemp,humidity,wind_speed,meanpressure,population,latitude,longitude,bounding_box_km2,humidity_lag_7,meantemp_lag_7,transmission_risk_index
2018-01-01,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-02,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-04,Central Delhi,2,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-08,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-09,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-13,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-19,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-20,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-23,Central Delhi,2,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-24,Central Delhi,2,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-25,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-27,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-28,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-29,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-01-31,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-02,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-04,Central Delhi,2,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-05,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-06,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-07,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-08,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-09,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-13,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-14,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-15,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-17,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-18,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-19,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-02-27,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-03-01,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-03-03,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-03-17,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-03-18,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-03-19,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-03-20,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-03-23,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-03-26,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-01,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-02,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-06,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-09,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-14,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-15,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-16,Central Delhi,2,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-19,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-25,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-28,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-04-29,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-01,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-03,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-05,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-06,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-08,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-10,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-12,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-13,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-14,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-16,Central Delhi,2,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-19,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-21,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-26,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-27,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-05-31,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-03,Central Delhi,2,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-06,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-07,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-10,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-11,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-12,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-17,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-18,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-19,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-20,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-23,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-24,Central Delhi,2,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-06-27,Central Delhi,1,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-07-01,Central Delhi,13,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-07-02,Central Delhi,4,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-07-03,Central Delhi,9,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-07-04,Central Delhi,10,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-07-05,Central Delhi,11,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
2018-07-06,Central Delhi,10,28.0,65.0,,,582320,28.6471,77.2198,25.0,65.0,28.0,378.508
